Area Code (FAO),Year,Value
1,2014,1.244
1,2015,1.897
1,2016,1.317
1,2017,0.884
1,2018,2.75
1,2019,1.806
1,2020,1.898
22,1961,-0.08
22,1962,0.143
22,1963,0.074
22,1964,0.247
22,1965,-0.218
22,1966,0.09
22,1967,-0.282
22,1968,0.037
22,1969,0.465
22,1970,0.35
22,1971,-0.346
22,1972,-0.01
22,1973,0.166
22,1974,-0.424
22,1975,-0.222
22,1976,-0.48
22,1977,
22,1978,
22,1979,
22,1980,0.438
22,1981,0.462
22,1982,0.382
22,1983,0.689
22,1984,0.074
22,1985,-0.17
22,1986,-0.113
22,1987,0.661
22,1988,0.249
22,1989,-0.197
22,1990,0.155
22,1991,0.214
22,1992,
22,1993,
22,1994,0.292
22,1995,0.573
22,1996,0.727
22,1997,
22,1998,
22,1999,
22,2000,
22,2001,
22,2002,
22,2003,0.824
22,2004,0.425
22,2005,0.607
22,2006,0.308
22,2007,0.756
22,2008,
22,2009,
22,2010,1.096
22,2011,0.32
22,2012,0.414
22,2013,0.951
22,2014,0.865
22,2015,1.051
22,2016,
22,2017,1.22
22,2018,0.637
22,2019,0.97
22,2020,1.267
10,1961,0.151
10,1962,0.111
10,1963,-0.122
10,1964,-0.042
10,1965,0.114
10,1966,-0.253
10,1967,-0.104
10,1968,-0.208
10,1969,0.099
10,1970,-0.01
10,1971,-0.044
10,1972,0.092
10,1973,0.835
10,1974,-0.349
10,1975,0.059
10,1976,-0.501
10,1977,0.195
10,1978,0.086
10,1979,0.386
10,1980,0.899
10,1981,0.505
10,1982,0.207
10,1983,0.646
10,1984,-0.157
10,1985,0.336
10,1986,0.365
10,1987,0.346
10,1988,0.945
10,1989,0.137
10,1990,0.529
10,1991,0.805
10,1992,0.247
10,1993,0.449
10,1994,0.187
10,1995,0.377
10,1996,0.559
10,1997,0.349
10,1998,1.048
10,1999,0.56
10,2000,0.121
10,2001,0.304
10,2002,0.687
10,2003,0.778
10,2004,0.666
10,2005,1.137
10,2006,0.653
10,2007,0.865
10,2008,0.557
10,2009,0.96
10,2010,0.619
10,2011,0.148
10,2012,0.24
10,2013,1.436
10,2014,1.141
10,2015,1.038
10,2016,1.126
10,2017,1.111
10,2018,1.104
10,2019,1.405
10,2020,1.404
11,1961,1.031
11,1962,-0.621
11,1963,-0.725
11,1964,-0.371
11,1965,-0.881
11,1966,0.605
11,1967,0.676
11,1968,0.21
11,1969,-0.124
11,1970,-0.55
11,1971,-0.061
11,1972,0.108
11,1973,-0.03
11,1974,0.317
11,1975,0.863
11,1976,0.219
11,1977,0.499
11,1978,-0.471
11,1979,-0.106
11,1980,-0.268
11,1981,0.283
11,1982,0.392
11,1983,1.069
11,1984,-0.242
11,1985,-0.562
11,1986,0.326
11,1987,-0.254
11,1988,0.829
11,1989,1.114
11,1990,1.276
11,1991,0.141
11,1992,1.263
11,1993,0.543
11,1994,1.978
11,1995,0.958
11,1996,-0.183
11,1997,0.533
11,1998,1.363
11,1999,1.001
11,2000,1.788
11,2001,1.523
11,2002,1.556
11,2003,1.487
11,2004,0.857
11,2005,0.657
11,2006,0.94
11,2007,2.166
11,2008,1.611
11,2009,1.572
11,2010,0.684
11,2011,1.398
11,2012,1.81
11,2013,1.122
11,2014,2.43
11,2015,2.184
11,2016,2.115
11,2017,1.765
11,2018,2.563
11,2019,2.408
11,2020,2.357
52,1992,-0.834
52,1993,-1.015
52,1994,0.1
52,1995,1.014
52,1996,0.246
52,1997,0.586
52,1998,1.188
52,1999,1.239
52,2000,1.11
52,2001,1.393
52,2002,1.421
52,2003,-0.162
52,2004,1.284
